"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"hsa-miR-1277-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1278",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1279",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-128",0.1,12.6090466666667,0.1,88.5465533333333,96.8160533333333,96.8160533333333,73.1262233333333,64.65779,72.3064733333333,5.47837866666667,3.12937066666667,3.54304466666667,0.1,0.1,105.875386666667,104.62265,104.62265,67.1382133333333,80.43092,8.917467,7.60166133333333,14.12946,105.875386666667,104.62265,111.64921,219.835596666667,194.30967,233.791256666667,206.752196666667,200.641593333333
"hsa-miR-1280_v18.0",42.3985896666667,51.3011296666667,49.841282,121.529993333333,119.996336666667,114.467336666667,54.750514,56.312688,65.2039933333333,10.9678516666667,11.905282,8.917467,1.98135,2.02294766666667,62.8675466666667,63.4811833333333,58.202324,110.49741,110.49741,21.7309853333333,23.690623,20.5174816666667,51.3011296666667,62.8675466666667,57.6056606666667,85.31851,70.5748366666667,71.1217266666667,74.8139366666667,70.5748366666667
"hsa-miR-1281",32.8189253333333,25.123198,27.0180103333333,0.1,6.10257533333333,4.432032,1.354539,1.603319,2.25360533333333,0.1,0.1,0.1,0.1,0.1,6.10257533333333,0.1,0.1,11.0252363333333,13.5073823333333,0.1,0.1,0.1,9.34094766666667,7.547863,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1282",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1283",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1284",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1285-3p",0.1,0.1,0.1,15.7214146666667,14.2472923333333,12.6090466666667,17.0088996666667,16.227181,16.5746616666667,7.77441,6.300378,7.23191166666667,0.1,0.1,12.6090466666667,11.7224446666667,11.2803036666667,14.3379426666667,13.898425,17.159441,17.532147,16.227181,13.5073823333333,12.8196283333333,15.6446166666667,0.1,0.1,0.1,0.1,0.1
